"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C2","0.01uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C3","10uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C4","0.1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C5","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C6,C7,C8","0.01u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C9,C10,C11","470u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","3",""
"J1","DB15_Female_HighDensity_MountingHoles"," ~","retro_gaming:L17HTHES4F1C","1",""
"J2","AudioJack3","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal","1",""
"P1","SNES_multiAV_plug_PCB","","retro_gaming:SNES_multiAV_plug_PCB","1",""
"R1,R2,R6,R7,R8","75","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R3","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R5","510","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"S1","JS202011CQN","https://www.ckswitches.com/media/1422/js.pdf","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight","1",""
"U1","LMH1980","LMH1980","Package_SO:VSSOP-10_3x3mm_P0.5mm","1",""
"U2","74LVC3G34","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","Package_SO:TSSOP-8_3x3mm_P0.65mm","1",""
